"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"How Complex Contagions Spread Quickly in Preferential Attachment Models and Other Time-Evolving Networks","R. Ebrahimi; J. Gao; G. Ghasemiesfeh; G. Schoenbeck","Google Inc., Mountain View, CA; Department of Computer Science, Stony Brook University, Stony Brook, NY; Department of Computer Science, Stony Brook University, Stony Brook, NY; Department of Computer Science, University of Michigan, Ann Arbor, MI","IEEE Transactions on Network Science and Engineering","4 Dec 2017","2017","4","4","201","214","The <italic><inline-formula><tex-math notation=""LaTeX"">$k$</tex-math><alternatives> <inline-graphic xlink:href=""ghasemiesfeh-ieq1-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula>-complex contagion</italic> model is a social contagion model which describes the diffusion of behaviors in networks where the successful adoption of a behavior requires influence from multiple contacts. It has been argued that complex contagions better model behavioral changes such as adoption of new beliefs, fashion trends or expensive technology innovations. A contagion in this model starts from a set of initially infected seeds and progresses in rounds. In any round any node with at least <inline-formula><tex-math notation=""LaTeX"">$k>1$</tex-math><alternatives> <inline-graphic xlink:href=""ghasemiesfeh-ieq2-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> infected neighbors becomes infected. Previous work on <inline-formula><tex-math notation=""LaTeX"">$k$</tex-math><alternatives> <inline-graphic xlink:href=""ghasemiesfeh-ieq3-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula>-complex contagions was focused on networks with uniform degree distributions. However, many real-world network topologies have non-uniform degree distribution and evolve over time. We analyze the spreading rate of a <inline-formula> <tex-math notation=""LaTeX"">$k$</tex-math><alternatives><inline-graphic xlink:href=""ghasemiesfeh-ieq4-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/> </alternatives></inline-formula>-complex contagion in a general family of time-evolving networks which includes the preferential attachment (PA) model. We prove that if the initial seeds are chosen as the <inline-formula> <tex-math notation=""LaTeX"">$k$</tex-math><alternatives><inline-graphic xlink:href=""ghasemiesfeh-ieq5-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/> </alternatives></inline-formula> earliest nodes in a network of this family, a <inline-formula> <tex-math notation=""LaTeX"">$k$</tex-math><alternatives><inline-graphic xlink:href=""ghasemiesfeh-ieq6-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/> </alternatives></inline-formula>-complex contagion covers the entire network of <inline-formula> <tex-math notation=""LaTeX"">$n$</tex-math><alternatives><inline-graphic xlink:href=""ghasemiesfeh-ieq7-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/> </alternatives></inline-formula> nodes in <inline-formula><tex-math notation=""LaTeX"">$O(\log n)$</tex-math> <alternatives><inline-graphic xlink:href=""ghasemiesfeh-ieq8-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula> rounds with high probability (w.h.p). We prove that the choice of the seeds is crucial: in the PA model, even if a much larger number of seeds are chosen <italic>uniformly randomly</italic>, the contagion stops prematurely w.h.p. Although the earliest nodes in a PA model are likely to have high degrees, it is actually the evolutionary graph structure of such models that facilitates fast spreading of complex contagions. The general family of time-evolving graphs with this property even contains networks without a power law degree distribution. Finally, we prove that when a <inline-formula> <tex-math notation=""LaTeX"">$k$</tex-math><alternatives><inline-graphic xlink:href=""ghasemiesfeh-ieq9-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/> </alternatives></inline-formula>-complex contagion starts from an arbitrary set of initial seeds on a general graph, determining if the number of infected vertices is above a given threshold is <inline-formula> <tex-math notation=""LaTeX"">${\mathbf {P}}$</tex-math><alternatives> <inline-graphic xlink:href=""ghasemiesfeh-ieq10-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula>-complete. Thus, one cannot hope to categorize all the settings in which <inline-formula><tex-math notation=""LaTeX"">$k$</tex-math> <alternatives><inline-graphic xlink:href=""ghasemiesfeh-ieq11-2718024.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula>-complex contagions percolate in a graph.","2327-4697","","10.1109/TNSE.2017.2718024","NSF(grant numbers:DMS-1418255,CCF-1535900,CNS-1618391); AFOSR(grant numbers:FA9550-14-1-0193); NSF(grant numbers:CCF-1535912); CAREER(grant numbers:CCF-1452915); Facebook Faculty Award; Google Faculty Award; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7955096","Social networks;complex contagion;the preferential attachment model;time-evolving networks;branching processes;stochastic coupling","Mathematical model;Social network services;Stochastic processes;Analytical models","","","","7","","38","IEEE","22 Jun 2017","","","IEEE","IEEE Journals"
"Modelling multi-state diffusion process in complex networks: theory and applications","Y. Lin; J. C. S. Lui; K. Jung; S. Lim",NA; NA; NA; NA,"Journal of Complex Networks","18 Jan 2018","2014","2","4","431","459","Recent years have witnessed a growing interest in understanding the fundamental principles of how epidemic, ideas or behaviour spread over large networks (e.g. the Internet or online social networks). The conventional approach is to use the susceptible-infected-susceptible (SIS) model or its derivatives. We like to note that these models are often too restrictive and may not be applicable in many realistic situations. In this paper, we propose a ‘generalized SIS model’ by allowing the existence of intermediate states between susceptible and infected states. To analyse the diffusion process of the generalized SIS model on large graphs, we use the ‘mean-field analysis technique’ to determine which initial condition leads to or prevents the outbreak of information or virus. For any general connected graphs, we show that the condition which can prevent the spread of contagions depends on two de-coupled effects: the network topology and the parametric values of the generalized SIS model. Experimental results based on both synthetic and real-world datasets show that our methodology can accurately predict the behaviour of the phase-transition process for any general graphs. We also extend our generalized SIS model to analyse the dynamics and behaviour of two competing sources. This is useful if one wants to model competing products in a large network or competition between virus and antidote in a large communication network. We present the analytical derivation and show via experiment how different factors such as initial condition, transmission rates, recovery rates or the number of states can affect the phase transition process and the final equilibrium. Our models and methodology can serve as an essential tool in analysing and understanding the information diffusion process in large networks.","2051-1329","","10.1093/comnet/cnu027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8150044","models of complex networks;applications of complex network analysis;complex networks and epidemics;generalized SIS model;tipping point;competing sources","","","","","2","","","","18 Jan 2018","","","OUP","OUP Journals"
"Effects of mass medias on the dynamics of social contagions","W. Wang; L. Gao; Y. -X. Zhu; H. Gao","Web Sciences enter, University of Electronic Science and Technology of China, Chengdu 610054, China; Web Sciences enter, University of Electronic Science and Technology of China, Chengdu 610054, China; Web Sciences enter, University of Electronic Science and Technology of China, Chengdu 610054, China; Web Sciences enter, University of Electronic Science and Technology of China, Chengdu 610054, China","2016 12th International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery (ICNC-FSKD)","24 Oct 2016","2016","","","311","315","Individuals can get the behavioral information from mass medias, as they always face various kinds of mass medias. Unfortunately, a systematical study about the effects of mass medias on social contagions is still lacking. To this end, we propose a novel non-Markovian social contagion model, in which individuals obtain the behavioral information not only from their neighbors but also from the mass medias. Through extensive numerical simulations, we find that the mass medias promote the adoption of behavior, and decrease the critical behavioral information transmission probability. In addition, we also note that the heterogeneity of degree distribution promotes the behavior adoption.","","978-1-5090-4093-3","10.1109/FSKD.2016.7603192","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7603192","","Entertainment industry;Media;Erbium;Information processing;Color;Complex networks;Biological system modeling","behavioural sciences;behavioural sciences computing;probability;social networking (online)","mass medias;nonMarkovian social contagion model;numerical simulation;critical behavioral information transmission probability;degree distribution heterogeneity","","","","26","","24 Oct 2016","","","IEEE","IEEE Conferences"
"Statistical Inference Framework for Source Detection of Contagion Processes on Arbitrary Network Structures","N. Antulov-Fantulin; A. Lancic; H. Stefancic; M. Sikic; T. Smuc","Lab. for Inf. Syst., Rudjer Boskovie Inst., Zagreb, Croatia; Dept. of Math., Univ. of Zagreb, Zagreb, Croatia; Theor. Phys. Div., Rudjer Boskovie Inst., Zagreb, Croatia; Dept. of Electron. Syst. & Inf. Process., Univ. of Zagreb, Zagreb, Croatia; Bioinf. Inst., A*STAR, Singapore, Singapore","2014 IEEE Eighth International Conference on Self-Adaptive and Self-Organizing Systems Workshops","9 Mar 2015","2014","","","78","83","We introduce a statistical inference framework for maximum likelihood estimation of the contagion source from a partially observed contagion spreading process on an arbitrary network structure. The framework is based on simulations of a contagion spreading process from a set of potential sources which were infected in the observed realization. We present a number of different likelihood estimators for determining the conditional probabilities of potential initial sources producing the observed epidemic realization, which are computed in scalable and parallel way. This statistical inference framework is applicable to arbitrary networks with different dynamical spreading processes.","","978-1-4799-6378-2","10.1109/SASOW.2014.35","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7056358","contagion spreading;complex networks;source detection","Estimation;Random variables;Atmospheric modeling;Noise;Adaptation models;Position measurement;Airports","inference mechanisms;maximum likelihood estimation;probability;security of data","dynamical spreading process;epidemic realization;conditional probabilities;contagion spreading process;maximum likelihood estimation;contagion processes;source detection;statistical inference framework","","10","","20","","9 Mar 2015","","","IEEE","IEEE Conferences"
"Nonlinear dynamic model of credit risk contagion in CRT market","T. -q. Chen; Q. -y. Yin; J. -m. He","School of Economics and Management, Southeast University, China, 211189; School of Economics and Management, Southeast University, China, 211189; School of Economics and Management, Southeast University, China, 211189","2012 International Conference on Management Science & Engineering 19th Annual Conference Proceedings","17 Jan 2013","2012","","","250","256","In this article, we build a nonlinear dynamics model of credit risk contagion in CRT market based on the connections of the complex relationship network between participants in CRT market only include Newman-Watts length scale connection and long distance connection, and study its dynamic behaviors. We find that, firstly, the increase of the effective rate of credit risk contagion can make the status curve of credit risk contagion happen some significant changes, further engender the Hopf bifurcation and chaos phenomenon in the process of credit risk contagion through experimental simulation. Secondly, the increase of the nonlinear resistance coefficient make Hopf bifurcation and chaos phenomena happen in advance. Thirdly, there are series of periodic windows in the chaos interval inside, in which present three intertwined state about Hopf bifurcation, pour bifurcation and chaos.","2155-1855","978-1-4673-3014-5","10.1109/ICMSE.2012.6414191","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6414191","nonlinear dynamics;CRT market;credit risk contagion;Hopf bifurcation;Chaos;experimental simulation","Bifurcation;Resistance;Chaos;Nonlinear dynamical systems;Stability analysis;Oscillators;Mathematical model","bifurcation;chaos;credit transactions;marketing;nonlinear dynamical systems;risk management","CRT market;nonlinear dynamic model;complex relationship network;Newman-Watts length scale connection;long distance connection;effective credit risk contagion rate;status curve;Hopf bifurcation;chaos phenomenon;credit risk contagion process;experimental simulation;nonlinear resistance coefficient;periodic windows;chaos interval;pour bifurcation;credit risk transfer","","","","23","","17 Jan 2013","","","IEEE","IEEE Conferences"
"The Risk Analysis of International Stock Market Based on Complex Network Approach","Y. Wang; Y. Wang; Y. Liu; J. Cai","Academy of Mathematics and Systems Science, Chinese Academy of Sciences,Beijing,100190; Academy of Mathematics and Systems Science, Chinese Academy of Sciences,Beijing,100190; E Fund Management Co., Ltd,Beijing,100049; Academy of Military Science, Center of Assessment and Demonstration Research,Beijing,100091","2021 33rd Chinese Control and Decision Conference (CCDC)","30 Nov 2021","2021","","","4497","4502","Since the breakout of 2008 global financial crisis, risk management has been a hot and crucial topic in research. In our paper, we construct international stock network of volatility risk and crash risk with the help of the empirical mode decomposition method and Granger causality test. We find that the most influential nations on different time scales are similar despite that the shortest-term components are disturbed. As the time scale increases, the pattern tends to be more clarified that the nations with mature stock market or developed economy, such as, USA, UK and Singapore are the most influential in risk contagion.","1948-9447","978-1-6654-4089-9","10.1109/CCDC52312.2021.9602362","National Natural Science Foundation of China(grant numbers:71532013,71431008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9602362","International Stock Market;Risk Contagion;Empirical Mode Decomposition;Granger Causality Network","Industries;Fluctuations;Empirical mode decomposition;Complex networks;Computer crashes;Risk management;Indexes","complex networks;risk analysis;statistical testing;stock markets","mature stock market;risk contagion;risk analysis;international stock market;complex network approach;global financial crisis;risk management;international stock network;volatility risk;crash risk;empirical mode decomposition method;Granger causality test;shortest-term components","","","","18","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Contagion Modeling and Simulation in Transport and Air Travel Networks During the COVID-19 Pandemic: A Survey","F. Riquelme; A. Aguilera; A. Inostrosa-Psijas","Escuela de Ingeniería Informática, Universidad de Valparaíso, Valparaíso, Chile; Escuela de Ingeniería Informática, Universidad de Valparaíso, Valparaíso, Chile; Escuela de Ingeniería Informática, Universidad de Valparaíso, Valparaíso, Chile","IEEE Access","10 Nov 2021","2021","9","","149529","149541","The COVID-19 pandemic has generated a huge volume of research from various disciplines, such as health sciences, social sciences, mathematical modeling, social network analysis, complex systems, decision-making processes, computer simulation, economics, among many others. One of the key problems has been to understand the diffusion processes of the virus, which quickly spread worldwide through transport networks, mainly air flights. Almost two years after start the pandemic, it is necessary to collect and synthesize the existing work on this matter. This work focuses on studies related to the COVID-19 contagion simulation through transport networks. In particular, we are specially interested in the different datasets and epidemiological models used. The search methodology consists of four exhaustive searches in Google Scholar carried out between January 2020 and January 2021. Of the 1786 findings, we chose 53 articles related to Covid-19 contagion modeling and simulation through transport networks. The results show 30 different data sources for the collection of air flights and 11 additional sources for maritime and land transport. These datasets are usually complemented with other data sources, local and international, with demographic information, economic data, and statistics of traceability of the pandemic. The findings also found 15 spread models of contagion, with the SEIR model being the most widely used, followed by mathematical-based risk models. This diversity of results validates the need for these types of compilation efforts since researchers do not have a single centralized repository to collect air flight data.","2169-3536","","10.1109/ACCESS.2021.3123892","Fondecyt de Iniciación 11200113 from ANID, Chile; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591596","COVID-19;epidemiological model;contagion network;contagion simulation;air travelling","Atmospheric modeling;COVID-19;Biological system modeling;Airports;Pandemics;Coronaviruses;Mathematical models","decision making;diseases;epidemics;risk analysis;social networking (online);statistical analysis;transportation;travel industry","air travel networks;COVID-19 pandemic;health sciences;social sciences;mathematical modeling;social network analysis;decision-making process;computer simulation;COVID-19 contagion simulation;epidemiological models;SEIR model;mathematical-based risk models;air flight data","","1","","118","CCBY","27 Oct 2021","","","IEEE","IEEE Journals"
"Cascading behaviour in complex socio-technical networks","J. Borge-Holthoefer; R. A. Baños; S. González-Bailón; Y. Moreno",NA; NA; NA; NA,"Journal of Complex Networks","18 Jan 2018","2013","1","1","3","24","Most human interactions today take place with the mediation of information and communications technology. This is extending the boundaries of interdependence: the group of reference, ideas and behaviour to which people are exposed is larger and less restricted to old geographical and cultural boundaries; but it is also providing more and better data with which to build more informative models on the effects of social interactions, amongst them, the way in which contagion and cascades diffuse in social networks. Online data are not only helping us gain deeper insights into the structural complexity of social systems, they are also illuminating the consequences of that complexity, especially around collective and temporal dynamics. This paper offers an overview of the models and applications that have been developed in what is still a nascent area of research, as well as an outline of immediate lines of work that promise to open new vistas in our understanding of cascading behaviour in social networks.","2051-1329","","10.1093/comnet/cnt006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8227068","contagion;diffusion;social influence;computational social science;big data","","","","","4","","","","18 Jan 2018","","","OUP","OUP Journals"
"Generation and analysis of networks with a prescribed degree sequence and subgraph family: higher-order structure matters","M. Ritchie; L. Berthouze; I. Z. Kiss",NA; NA; NA,"Journal of Complex Networks","18 Jan 2018","2017","5","1","1","31","Designing algorithms that generate networks with a given degree sequence while varying both subgraph composition and distribution of subgraphs around nodes is an important but challenging research problem. Current algorithms lack control of key network parameters, the ability to specify to what subgraphs a node belongs to, come at a considerable complexity cost or, critically and sample from a limited ensemble of networks. To enable controlled investigations of the impact and role of subgraphs, especially for epidemics, neuronal activity or complex contagion, it is essential that the generation process be versatile and the generated networks as diverse as possible. In this article, we present two new network generation algorithms that use subgraphs as building blocks to construct networks preserving a given degree sequence. Additionally, these algorithms provide control over clustering both at node and global level. In both cases, we show that, despite being constrained by a degree sequence and global clustering, generated networks have markedly different topologies as evidenced by both subgraph prevalence and distribution around nodes, and large-scale network structure metrics such as path length and betweenness measures. Simulations of standard epidemic and complex contagion models on those networks reveal that degree distribution and global clustering do not always accurately predict the outcome of dynamical processes taking place on them. We conclude by discussing the benefits and limitations of both methods.","2051-1329","","10.1093/comnet/cnw011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8149446","networks;clustering;subgraphs;epidemics;complex contagion","","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Modelling Spreading Process Induced by Agent Mobility in Complex Networks","W. K. Chai","Department of Computing and Informatics, Bournemouth University, Dorset, United Kingdom","IEEE Transactions on Network Science and Engineering","2 Dec 2018","2018","5","4","336","349","Most conventional epidemic models assume contact-based contagion process. We depart from this assumption and study epidemic spreading process in networks caused by agents acting as carrier of infection. These agents traverse from origins to destinations following specific paths in a network and in the process, infecting the sites they travel across. We focus our work on the Susceptible-Infected-Removed (SIR) epidemic model and use continuous-time Markov chain analysis to model the impact of such agent mobility induced contagion mechanics by taking into account the state transitions of each node individually, as oppose to most conventional epidemic approaches which usually consider the mean aggregated behavior of all nodes. Our approach makes one mean field approximation to reduce complexity from exponential to polynomial. We study both network-wide properties such as epidemic threshold as well as individual node vulnerability under such agent assisted infection spreading process. Furthermore, we provide a first order approximation on the agents' vulnerability since infection is bi-directional. We compare our analysis of spreading process induced by agent mobility against contact-based epidemic model via a case study on London Underground network, the second busiest metro system in Europe, with real dataset recording commuters' activities in the system. We highlight the key differences in the spreading patterns between the contact-based versus agent assisted spreading models. Specifically, we show that our model predicts greater spreading radius than conventional contact-based models due to agents' movements. Another interesting finding is that, in contrast to contact-based model where nodes located more centrally in a network are proportionally more prone to infection, our model shows no such strict correlation as in our model, nodes may not be highly susceptible even located at the heart of the network and vice versa.","2327-4697","","10.1109/TNSE.2017.2764523","Engineering and Physical Sciences Research Council (EPSRC)(grant numbers:I1402); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8074785","Epidemic;complex networks;carrier agent;mobility","Computer viruses;Statistics;Computational modeling;Mathematical model;Analytical models;Malware","complex networks;diseases;epidemics;graph theory;Markov processes;multi-agent systems;network theory (graphs)","agent mobility;complex networks;contact-based contagion process;Susceptible-Infected-Removed epidemic model;continuous-time Markov chain analysis;mean field approximation;contact-based epidemic model;London Underground network;epidemic spreading process;spreading process modelling;contagion mechanics","","1","","69","IEEE","19 Oct 2017","","","IEEE","IEEE Journals"
"Progressive Information Polarization in a Complex-Network Entropic Social Dynamics Model","C. Wang; J. M. Koh; K. H. Cheong; N. -G. Xie","Department of Mechanical Engineering, Anhui University of Technology, Ma&#x2019;anshan, China; Science and Math Cluster, Singapore University of Technology and Design, Singapore; Science and Math Cluster, Singapore University of Technology and Design, Singapore; Department of Mechanical Engineering, Anhui University of Technology, Ma&#x2019;anshan, China","IEEE Access","27 Mar 2019","2019","7","","35394","35404","The advent of social media and technologies augmenting social communication has dramatically amplified the role of rumor spreading in shaping society, via means of misinformation and fact distortion. Existing research commonly utilize contagion mechanisms, statistical mechanics frameworks, or complex-network opinion dynamics models. In this paper, we incorporate information distortion and polarization effects into an opinion dynamics model based on information entropy, modeling imprecision in human memory and communication, and the consequent progressive drift of information toward subjective extremes. Simulation results predict a wide variety of possible system behavior, heavily dependent on the relative trust placed on individuals of differing social connectivity. Mass-polarization toward a positive or negative consensus occurs when a synergistic mechanism between preferential trust and polarization tendencies is sustained; a division of the population into segregated groups of different polarity is also possible under certain conditions. These results may aid in the analysis and prediction of opinion polarization phenomena on social platforms, and the presented agent-based modeling approach may aid in the simulation of complex-network information systems.","2169-3536","","10.1109/ACCESS.2019.2902400","National Natural Science Foundation of China(grant numbers:11705002); Ministry of Education, Humanities and Social Sciences Research Projects(grant numbers:15YJCZH210); Natural Science Foundation of Anhui Province(grant numbers:1708085MF164); Singapore University of Technology and Design(grant numbers:(SRG SCI 2019 142)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8657697","Information theory;behavioral sciences;social dynamics;information propagation;information polarization;communicative distortion;agent interaction;complex networks","Distortion;Information entropy;Social networking (online);Computational modeling;Sociology;Statistics;Analytical models","complex networks;entropy;network theory (graphs);social networking (online)","progressive information polarization;complex-network entropic social dynamics model;social media;social communication;rumor spreading;contagion mechanisms;statistical mechanics frameworks;complex-network opinion dynamics models;information distortion;polarization effects;opinion dynamics model;information entropy;human memory;social connectivity;mass-polarization;synergistic mechanism;preferential trust;opinion polarization phenomena;social platforms;complex-network information systems;system behavior;agent-based modeling approach","","8","","58","CCBY","4 Mar 2019","","","IEEE","IEEE Journals"
"Connectivity and systemic risk in the Brazilian national payments system","R. C. Castro Miranda; S. R. Stancato de Souza; T. C. Silva; B. M. Tabak",NA; NA; NA; NA,"Journal of Complex Networks","18 Jan 2018","2014","2","4","585","613","In this paper, we analyse a unique dataset, which comprises funds transfers processed by the Brazilian Payments System (BPS), using network theory concepts. The conducted analyses reveal that there is a subset of financial institutions that act as money centres. The local importance of financial institutions is moderately concentrated and assumes increased values between 2006 and 2011. Moreover, we investigate the impact that default of institutions cause on their neighbourhood and also find the most probable contagion paths within the banking system. The contagion paths change over time, but the network's central institutions remain the same. In order to assess the systemic impact of the banks' defaults, we simulate default cascades and complement the results with liquidity and solvency stress measures. We find that failure cascades hardly happen. When they do occur, the average propagation chain's length is very short. We also do not find any significant stress measure associated with banks' defaults. As a consequence, we do not find evidence of significant systemic risk associated with the BPS. Finally, we extract topological information of the network's structure by using several network measures, such as ones related to centrality and degree correlation. The extracted information is relevant for monitoring the financial stability and for understanding, in an intuitive way, many structural characteristics of the investigated network.","2051-1329","","10.1093/comnet/cnu022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8150040","complex networks;payments system;systemic risk;contagion path","","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Influence Propagation with Multiple Stages over Random Multiplex Networks","Y. Zhuang; O. Yaǧan",Carnegie Mellon University; Carnegie Mellon University,"2019 IEEE Global Communications Conference (GLOBECOM)","27 Feb 2020","2019","","","1","6","Complex contagion models have been developed to understand a wide range of social phenomena such as adoption of cultural fads, the diffusion of belief, norms, and innovations in social networks, and the rise of collective action to join a riot. Most existing works focus on contagions where individuals' states are represented by <i>binary</i> variables, and propagation takes place over a single isolated network. However, characterization of an individual's standing on a given matter as a binary state might be overly simplistic as most of our opinions, feelings, and perceptions vary over more than two states. Also, most real-world contagions take place over multiple networks (e.g., Twitter and Facebook) or involve <i>multiplex</i> networks where individuals engage in different types of relationships (e.g., co-worker, family, etc.). To this end, this paper studies <i>multi-stage</i> complex contagions that take place over multi-layer or multiplex networks. Under a linear threshold based contagion model, we first give analytic results for the expected size of <i>global</i> cascades, i.e., cases where a randomly chosen node can initiate a propagation that eventually reaches a <i>positive</i> fraction of the whole population. Then, analytic results are confirmed by an extensive numerical study. In addition, we demonstrate how the dynamics of complex contagions is affected by the structural properties of the networks. In particular, we reveal an interesting connection between the assortativity of a network and the impact of <i>hyper-active</i> nodes on the cascade size.","2576-6813","978-1-7281-0962-6","10.1109/GLOBECOM38437.2019.9013531","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9013531","","Multiplexing;Numerical models;Facebook;Color;Computational modeling;Twitter","complex networks;network theory (graphs);social networking (online)","multiplex network;linear threshold based contagion model;multilayer network;multistage complex contagions;single isolated network;social networks;social phenomena;complex contagion models;random multiplex networks;influence propagation","","","","15","","27 Feb 2020","","","IEEE","IEEE Conferences"
"Risk assessment for substation secondary system using graph theory and risk contagion model","K. Zhou; J. Ding; J. Chen; W. Tao; J. Li","School of Electrical Engineering, Wuhan University (WHU), Wuhan, China 430072; School of Electrical Engineering, Wuhan University (WHU), Wuhan, China 430072; School of Electrical Engineering, Wuhan University (WHU), Wuhan, China 430072; Power Dispatch Center, China Southern Power Grid, Guangzhou, China 510623; Power Dispatch Center, China Southern Power Grid, Guangzhou, China 510623","2017 Chinese Automation Congress (CAC)","1 Jan 2018","2017","","","66","71","The risk assessment is an important task in operational management. Since secondary system of substation(SSOS) is an important part to ensure the safe operation of the substation, close attention is needed to its operation risk causing power loss. According to past research, the difficulties of its risk assessment include complex relationship of secondary devices, and risk analysis of its impact on primary devices. Therefore, the graph theory and risk contagion model are introduced to deal with these difficulties. The secondary system risk assessment is decomposed into two parts. One is its own risk (secondary risk), another one is focused on the quantification of the corresponding primary risk (primary risk). The risk assessment model including the basic elements definition, constructing risk contagion network, and composing correlation matrix, is established. Then, a set of risk indexes for SSOS is presented according to the needs of different operation departments. Finally, an instance secondary system of an intelligent substation is modeling to test the validity of proposed model. The result supports the usefulness of the risk assessment.","","978-1-5386-3524-7","10.1109/CAC.2017.8242738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8242738","Risk assessment;substation secondary system;graph theory;risk contagion;sensitive device","Silicon;Risk management;Indexes;Substations;Correlation;Graph theory","graph theory;risk analysis;substations","substation secondary system;graph theory;risk contagion model;operation risk;secondary devices;risk analysis;secondary system risk assessment;risk assessment model;risk contagion network;risk indexes;instance secondary system;operational management;secondary system of substation;SSOS;primary risk;intelligent substation;correlation matrix","","1","","22","","1 Jan 2018","","","IEEE","IEEE Conferences"
"On global stability of financial networks","B. DasGupta; L. Kaligounder",NA; NA,"Journal of Complex Networks","18 Jan 2018","2014","2","3","313","354","Recent crisis in the global financial world has generated renewed interests in fragilities of global financial networks among economists and regulatory authorities. In particular, a potential vulnerability of the financial networks is the ‘financial contagion’ process in which insolvencies of individual entities propagate through the ‘web of dependencies’ to affect the entire system. In this paper, we formalize an extension of a financial network model originally proposed by Nier et al. for scenarios such as the over-the-counter derivatives market, define a suitable global stability measure for this model, and perform a comprehensive evaluation of this stability measure over more than 700,000 combinations of networks types and parameter combinations. Based on our evaluations, we discover many interesting implications of our evaluations of this stability measure and derive topological properties and parameter combinations that may be used to flag the network as a possible fragile network. An interactive software FIN-STAB for computing the stability is available from www2.cs.uic.edu/dasgupta/financial-simulator-files.","2051-1329","","10.1093/comnet/cnu004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8155439","financial networks;financial contagion;global stability","","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
